mode,target_type,target,layer,n,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
B,query_action,airplane,28,1,0.1803,0.1251,0.1761,0.0894,0.7101,0.2875
B,query_action,baby,28,1,0.2012,0.1127,0.8386,0.008,0.8414,0.3247
B,query_action,bird,28,2,0.5308,0.5354,0.3743,0.0721,0.8099,0.6413
B,query_action,boat,28,1,0.1688,0.2216,0.1404,0.0994,0.7391,0.2749
B,query_action,boy,28,1,0.4427,0.4163,0.4442,0.0792,0.8478,0.5817
B,query_action,bride,28,1,0.0802,0.0439,0.243,0.0668,0.8116,0.1459
B,query_action,cat,28,4,0.1426,0.0777,0.2332,0.108,0.7345,0.2388
B,query_action,catcher,28,1,0.1274,0.124,0.2564,0.1101,0.9391,0.2243
B,query_action,dog,28,6,0.2075,0.1695,0.2746,0.0829,0.8057,0.33
B,query_action,elephants,28,1,0.1329,0.1072,0.5853,0.0106,0.8812,0.2309
B,query_action,groom,28,1,0.1875,0.0439,0.2466,0.0869,0.7797,0.3023
B,query_action,hand,28,1,0.2024,0.1439,0.6129,0.0119,0.8491,0.3269
B,query_action,horse,28,2,0.0891,0.069,0.1802,0.1002,0.887,0.1619
B,query_action,horses,28,1,0.4067,0.3039,0.5373,0.016,0.7545,0.5285
B,query_action,hot dog,28,1,0.6769,0.6415,0.4864,0.0636,0.8777,0.7643
B,query_action,individuals,28,1,0.1298,0.1363,0.1775,0.0725,0.6806,0.218
B,query_action,jockeys,28,1,0.0691,0.0951,0.0539,0.1175,0.7442,0.1264
B,query_action,kite,28,1,0.0795,0.062,0.1175,0.0877,0.6709,0.1422
B,query_action,man,28,2,0.1839,0.0848,0.2793,0.0786,0.7936,0.2986
B,query_action,person,28,7,0.1105,0.0951,0.1904,0.1537,0.8242,0.1949
B,query_action,player,28,2,0.1543,0.1267,0.1887,0.0698,0.8307,0.2602
B,query_action,skateboarder,28,1,0.0136,0.0132,0.0359,0.147,0.8957,0.0267
B,query_action,surfer,28,3,0.0537,0.0663,0.0476,0.131,0.7335,0.1001
B,query_action,woman,28,7,0.1866,0.106,0.3501,0.0846,0.764,0.3
B,query_action,women,28,1,0.1231,0.0754,0.2589,0.0696,0.7673,0.2121
B,query_attribute,airplane,28,1,0.1803,0.1251,0.1761,0.0894,0.7101,0.2875
B,query_attribute,apple,28,1,0.3219,0.1736,0.797,0.0113,0.7043,0.4419
B,query_attribute,bird,28,2,0.5648,0.4246,0.4292,0.0722,0.8844,0.6893
B,query_attribute,boat,28,1,0.0761,0.028,0.0629,0.1433,0.6899,0.1371
B,query_attribute,bowl,28,1,0.4006,0.2364,0.6139,0.0351,0.8137,0.5369
B,query_attribute,boy,28,1,0.4421,0.4042,0.4552,0.0745,0.8602,0.584
B,query_attribute,bride,28,2,0.4589,0.3021,0.5177,0.0665,0.8101,0.5859
B,query_attribute,car,28,2,0.3568,0.1454,0.6116,0.0391,0.7032,0.4734
B,query_attribute,cat,28,3,0.4997,0.3441,0.6657,0.0325,0.8218,0.6215
B,query_attribute,catcher,28,1,0.6025,0.5061,0.4699,0.046,0.8203,0.6947
B,query_attribute,cell phone,28,1,0.0731,0.0089,0.0502,0.2906,0.8232,0.1343
B,query_attribute,dog,28,4,0.382,0.3335,0.4406,0.0656,0.8212,0.5214
B,query_attribute,doughnut,28,1,0.1996,0.2047,0.154,0.1181,0.8031,0.3197
B,query_attribute,elephants,28,1,0.3959,0.3082,0.7707,0.0077,0.7275,0.5128
B,query_attribute,fork,28,1,0.3431,0.3671,0.2653,0.0572,0.9103,0.4984
B,query_attribute,frisbee,28,1,0.0132,0.0087,0.0376,0.2674,0.7652,0.026
B,query_attribute,horse,28,4,0.2109,0.1891,0.2379,0.1329,0.7699,0.3311
B,query_attribute,horses,28,2,0.361,0.2692,0.387,0.0505,0.7852,0.4946
B,query_attribute,hot dog,28,1,0.6769,0.6415,0.4864,0.0636,0.8777,0.7643
B,query_attribute,kite,28,1,0.2583,0.1755,0.2199,0.1011,0.7692,0.3868
B,query_attribute,man,28,3,0.3791,0.215,0.4656,0.0645,0.7816,0.5106
B,query_attribute,person,28,4,0.2209,0.2129,0.2072,0.1637,0.8263,0.3486
B,query_attribute,pizza,28,1,0.7775,0.7532,0.6978,0.0199,0.8133,0.795
B,query_attribute,player,28,2,0.3509,0.3356,0.2981,0.0604,0.7998,0.4878
B,query_attribute,scissors,28,1,0.0,0.0,0.0306,0.2063,0.8286,0.0
B,query_attribute,skateboarder,28,1,0.0,0.0,0.0246,0.1835,0.9623,0.0
B,query_attribute,suitcase,28,1,0.6605,0.5803,0.6332,0.0706,0.9101,0.7654
B,query_attribute,surfer,28,2,0.0323,0.0231,0.0389,0.1921,0.85,0.0622
B,query_attribute,tent,28,1,0.3813,0.2571,0.5459,0.0298,0.8261,0.5218
B,query_attribute,toothbrush,28,1,0.094,0.0982,0.0698,0.1566,0.7775,0.1677
B,query_attribute,umbrella,28,1,0.5433,0.577,0.1911,0.1165,0.9412,0.689
B,query_attribute,woman,28,2,0.4701,0.4386,0.5095,0.0444,0.8627,0.6086
B,query_relation,apple,28,1,0.0824,0.0485,0.7193,0.012,0.9188,0.1513
B,query_relation,baby,28,1,0.1073,0.0544,0.4607,0.0385,0.7775,0.1886
B,query_relation,banana,28,1,0.1781,0.1367,0.6243,0.0282,0.8509,0.2945
B,query_relation,cat,28,3,0.2616,0.1412,0.8519,0.009,0.7864,0.3926
B,query_relation,dog,28,3,0.2722,0.1232,0.6142,0.0345,0.728,0.3962
B,query_relation,elephant,28,1,0.357,0.2478,0.7582,0.0084,0.7333,0.4802
B,query_relation,fork,28,1,0.1774,0.1722,0.2783,0.0378,0.9103,0.2969
B,query_relation,groom,28,1,0.1347,0.119,0.5265,0.0155,0.8841,0.2337
B,query_relation,horse,28,2,0.3833,0.3123,0.4803,0.0435,0.7368,0.5043
B,query_relation,jockeys,28,1,0.0061,0.0,0.0349,0.1159,0.8312,0.0122
B,query_relation,man,28,2,0.3201,0.2302,0.5881,0.0291,0.7891,0.4555
B,query_relation,oven,28,1,0.0103,0.0018,0.0799,0.1686,0.9028,0.0203
B,query_relation,person,28,6,0.1894,0.1281,0.3381,0.0762,0.794,0.3058
B,query_relation,pizza,28,1,0.0874,0.031,0.487,0.0369,0.844,0.1583
B,query_relation,player,28,1,0.0485,0.0327,0.1349,0.0874,0.8538,0.0918
B,query_relation,scissors,28,1,0.2745,0.156,0.5561,0.0349,0.734,0.3996
B,query_relation,skateboarder,28,1,0.0197,0.0171,0.0477,0.1503,0.8203,0.0385
B,query_relation,sports ball,28,1,0.4299,0.4034,0.4455,0.0504,0.8478,0.5705
B,query_relation,surfer,28,3,0.0199,0.0379,0.0313,0.1583,0.7251,0.0387
B,query_relation,woman,28,5,0.1815,0.115,0.4495,0.0399,0.8197,0.2971
B,query_relation,women,28,1,0.1192,0.1086,0.3596,0.0556,0.9412,0.2116
